id,word,difficulty,definition,sentence
418,maracas,3,Musical instruments you shake,He played the maracas in the band.
419,gyroplane,3,An aircraft with rotating blades,The gyroplane hovered above the field.
420,burpees,3,A type of exercise,We did twenty burpees in gym class.
421,Adriatic,3,A sea between Italy and the Balkans,We sailed on the Adriatic Sea.
422,piccolo,3,A small high-pitched flute,She played the piccolo in the orchestra.
423,au revoir,3,The French way to say goodbye,Au revoir means see you later.
424,tulle,3,A light netted fabric,The ballerina's skirt was made of tulle.
425,boll weevil,3,An insect that damages cotton plants,The boll weevil destroyed the cotton crop.
426,camphor,3,A substance with a strong smell,The chest smelled of camphor.
427,Tucson,3,A city in Arizona,We visited the desert near Tucson.
428,paparazzi,3,Photographers who follow celebrities,The paparazzi chased the movie star.
429,pumpernickel,3,A dark heavy rye bread,I made a sandwich with pumpernickel bread.
430,pogrom,3,An organized violent attack on a group,The history book described the terrible pogrom.
431,bursitis,3,Inflammation of joints causing pain,His knee pain was from bursitis.
432,pâtisserie,3,A French bakery for pastries,We bought croissants at the pâtisserie.
433,cycads,3,Ancient palm-like plants,Cycads have existed for millions of years.
434,sarsaparilla,3,A sweet drink flavored with plant roots,The old-fashioned soda shop sold sarsaparilla.
435,maître d',3,The head waiter at a restaurant,The maître d' showed us to our table.
436,cannelloni,3,Large tube-shaped pasta,The cannelloni was stuffed with cheese.
437,boulangerie,3,A French bakery for bread,We bought fresh baguettes at the boulangerie.
438,bronchitis,3,An infection of the breathing tubes,He had bronchitis and couldn't stop coughing.
439,Oswego,3,A city in New York,Oswego is located on Lake Ontario.
440,diphtheria,3,A serious throat disease,Children are vaccinated against diphtheria.
441,baklava,3,A sweet pastry with nuts and honey,The Greek baklava was delicious.
442,corbels,3,Supports sticking out from a wall,Stone corbels held up the balcony.
443,trebuchets,3,Large medieval machines that throw rocks,The castle defenders used trebuchets.
444,Kilimanjaro,3,The tallest mountain in Africa,Climbing Kilimanjaro takes several days.
445,fräulein,3,The German word for miss or young lady,Fräulein Schmidt taught the class.
446,protégé,3,A person guided by a mentor,The young artist was the master's protégé.
447,hors d'oeuvres,3,Small snacks served before a meal,The waiter brought hors d'oeuvres on a tray.
448,maquisards,3,French resistance fighters in World War II,The maquisards fought against the occupation.
449,Aubusson,3,A type of fine French tapestry,The museum displayed an Aubusson tapestry.
450,Charolais,3,A breed of white cattle from France,The ranch raised Charolais cattle.
